PANEL_ID,NAME,ZONE,DESIGN_FUNCTION,BOUNDARY_REASON,DONOR_INTERFACE,MOUNTING,REMOVABLE,FLANGE,INTERLOCK,THICKNESS,PRINT_ORIENTATION,SPLIT_STRATEGY,SUPPORT,TRIM_ALLOWANCE_MM,ASSEMBLY_STEP,INSTALL_VECTOR,ACCESS,SHAPE_DRIVER,INTERFACE_CLASS,SCAN_STATUS,READINESS,RISK,STATUS
P11,SIDE_INTAKE_L,SIDE,"intake mouth surround, ahead of the rear wheel",the real opening behind it governs the mouth,"the real opening's shape, not just its X, duct route from the opening to the plenum, what is behind the opening on this particular car",bonded flange to donor sheet + mechanical at the ends. Points SCAN REQUIRED.,yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",split at the mouth's own lip,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",15,11,-Y,duct behind it must stay reachable,DONOR,C,RED,SCAN REQUIRED,HIGH,"PROPOSED, not approved"
P12,SIDE_INTAKE_R,SIDE,"intake mouth surround, ahead of the rear wheel",the real opening behind it governs the mouth,"the real opening's shape, not just its X, duct route from the opening to the plenum, what is behind the opening on this particular car",bonded flange to donor sheet + mechanical at the ends. Points SCAN REQUIRED.,yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",split at the mouth's own lip,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",15,11,+Y,duct behind it must stay reachable,DONOR,C,RED,SCAN REQUIRED,HIGH,"PROPOSED, not approved"
P31,INTAKE_DUCT_L,SIDE,visible structure inside the intake,what the eye sees through the intake; the real opening governs it,"the real opening's shape, not just its X, duct route from the opening to the plenum, what is behind the opening on this particular car","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",single piece,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",6,12,-Y,out through the mouth,DONOR,C,RED,SCAN REQUIRED,HIGH,"PROPOSED, not approved"
P32,INTAKE_DUCT_R,SIDE,visible structure inside the intake,what the eye sees through the intake; the real opening governs it,"the real opening's shape, not just its X, duct route from the opening to the plenum, what is behind the opening on this particular car","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",single piece,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",6,12,+Y,out through the mouth,DONOR,C,RED,SCAN REQUIRED,HIGH,"PROPOSED, not approved"
P13,INTAKE_BLADE_L,SIDE,the vertical blade dividing body from cavity,blade inside our own mouth,"the real opening's shape, not just its X, duct route from the opening to the plenum, what is behind the opening on this particular car","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",single piece,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",6,13,-Y,out before the intake surround,OURS,C,RED,READY NOW,MEDIUM,"PROPOSED, not approved"
P14,INTAKE_BLADE_R,SIDE,the vertical blade dividing body from cavity,blade inside our own mouth,"the real opening's shape, not just its X, duct route from the opening to the plenum, what is behind the opening on this particular car","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",single piece,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",6,13,+Y,out before the intake surround,OURS,C,RED,READY NOW,MEDIUM,"PROPOSED, not approved"
P15,REAR_HAUNCH_L,REAR,"muscular rear haunch, overlay on the welded quarter",overlay bonded to the welded quarter; the quarter governs it,"the welded quarter's outer surface — the overlay bonds to it, where the bodyshop can cut a 30–40 mm flange without touching structure, wheelhouse and full suspension travel","bonded overlay, plus a 30-40 mm flange the bodyshop cuts where no seam exists. Where that flange can land is SCAN REQUIRED.",no,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",splits at the arch crown and the shut line,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",20,14,-Y,not removable once bonded; accept that,DONOR,C,RED,SCAN REQUIRED,HIGH,"PROPOSED, not approved"
P16,REAR_HAUNCH_R,REAR,"muscular rear haunch, overlay on the welded quarter",overlay bonded to the welded quarter; the quarter governs it,"the welded quarter's outer surface — the overlay bonds to it, where the bodyshop can cut a 30–40 mm flange without touching structure, wheelhouse and full suspension travel","bonded overlay, plus a 30-40 mm flange the bodyshop cuts where no seam exists. Where that flange can land is SCAN REQUIRED.",no,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",splits at the arch crown and the shut line,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",20,14,+Y,not removable once bonded; accept that,DONOR,C,RED,SCAN REQUIRED,HIGH,"PROPOSED, not approved"
P17,BUTTRESS_L,REAR,buttress blade beside the deck,"our blade, but it sits in the roof fold envelope","roll-bar tube diameter and its real envelope, whether a bonded subframe can pick up on the roll-bar mounts","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",no,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","single piece, but the blade itself is BLOCKED","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",12,15,-Z,fixed; sits over the roof fold volume,MIXED,C,YELLOW,BLOCKED,HIGH,"PROPOSED, not approved"
P18,BUTTRESS_R,REAR,buttress blade beside the deck,"our blade, but it sits in the roof fold envelope","roll-bar tube diameter and its real envelope, whether a bonded subframe can pick up on the roll-bar mounts","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",no,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","single piece, but the blade itself is BLOCKED","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",12,15,-Z,fixed; sits over the roof fold volume,MIXED,C,YELLOW,BLOCKED,HIGH,"PROPOSED, not approved"
P19,REAR_DECK_L,REAR,"deck skin over the roof mechanism, left strip","our deck, height governed by the roof fold envelope","THE ROOF FOLD ENVELOPE in all four positions — closed, half, open, clamshell raised, whether the deck must move with the clamshell or the roof stows beneath it, engine lid aperture","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",no,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",no centreline split needed: the engine cover already ends it inboard,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",15,16,-Z,must clear the fold path in all four roof positions,MIXED,C,RED,BLOCKED,HIGH,"PROPOSED, not approved"
P42,REAR_DECK_R,REAR,"deck skin over the roof mechanism, right strip","our deck, height governed by the roof fold envelope","THE ROOF FOLD ENVELOPE in all four positions — closed, half, open, clamshell raised, whether the deck must move with the clamshell or the roof stows beneath it, engine lid aperture","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.",no,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.",no centreline split needed: the engine cover already ends it inboard,"target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",15,16,-Z,must clear the fold path in all four roof positions,MIXED,C,RED,BLOCKED,HIGH,"PROPOSED, not approved"
P20,ENGINE_COVER,REAR,engine cover carrying the louvres,"our cover, aperture governed by the donor engine lid","engine lid aperture and hinge, engine bay top surface — how low the louvred panel can sit, heat map: where the hot air actually needs to leave",bolts through flange into donor threads. Positions SCAN REQUIRED.,yes,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",tongue-and-groove at every print split. Clearance PROVISIONAL until Q35/Q36.,"PROVISIONAL. Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","splits across, between louvre banks","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",12,17,-Z,opens for the engine; aperture SCAN REQUIRED,MIXED,C,RED,BLOCKED,HIGH,"PROPOSED, not approved"
