PANEL,NAME,SHAPE_STATUS,SCAN_DEPENDENCY,DONOR_INTERFACE,PANEL_BOUNDARY,THICKNESS,SPLIT,FLANGE,FASTENING,PRINT_ORIENTATION,SUPPORT_STRATEGY,FIT_TEST_REQUIRED,BLOCKER,VERDICT,CATEGORY,PROOF,X_SPAN
P07,ROCKER_L,"ours, provable",datum only,"sill profile and where a bonded flange can land, jack point access after the panel is on",outer form ours; the sill profile governs where it can bond,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",splits at the door shut line,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",bonded flange to donor sheet + mechanical at the ends. Points SCAN REQUIRED.,"class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.","yes, but only the interface",none,PROCEED,1,"measured: no approx donor value moves its boundary, and the cabin cut -- the only thing cowl_x and hoop_x reshape -- does not reach it",292..2122
P08,ROCKER_R,"ours, provable",datum only,"sill profile and where a bonded flange can land, jack point access after the panel is on",outer form ours; the sill profile governs where it can bond,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",splits at the door shut line,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",bonded flange to donor sheet + mechanical at the ends. Points SCAN REQUIRED.,"class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.","yes, but only the interface",none,PROCEED,1,"measured: no approx donor value moves its boundary, and the cabin cut -- the only thing cowl_x and hoop_x reshape -- does not reach it",292..2122
P39,ROCKER_END_L,"ours, provable",datum only,"sill profile and where a bonded flange can land, jack point access after the panel is on","our corner behind the rear wheel; all four of its edges are ours or published, so nothing donor-derived shapes it","PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",single piece at 264 mm long on any plausible machine,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.","yes, but only the interface",none,PROCEED,1,"measured: no approx donor value moves its boundary, and the cabin cut -- the only thing cowl_x and hoop_x reshape -- does not reach it",2736..3000
P40,ROCKER_END_R,"ours, provable",datum only,"sill profile and where a bonded flange can land, jack point access after the panel is on","our corner behind the rear wheel; all four of its edges are ours or published, so nothing donor-derived shapes it","PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",single piece at 264 mm long on any plausible machine,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.","yes, but only the interface",none,PROCEED,1,"measured: no approx donor value moves its boundary, and the cabin cut -- the only thing cowl_x and hoop_x reshape -- does not reach it",2736..3000
P09,DOOR_SKIN_L,donor-governed,SHAPE,"the OEM door's outer surface — the new skin is an overlay and must sit on it, hinge and check-strap positions, glass drop path and seal line","overlay on the OEM door skin, between two donor shut lines","PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","splits at the channel, hidden in the void","20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",bonded to the OEM door skin; no fasteners through the door. SCAN REQUIRED for the surface it sits on.,"class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",yes,scan,SCAN REQUIRED,3,overlay on the OEM door skin; its inner form is that skin,440..1635
P10,DOOR_SKIN_R,donor-governed,SHAPE,"the OEM door's outer surface — the new skin is an overlay and must sit on it, hinge and check-strap positions, glass drop path and seal line","overlay on the OEM door skin, between two donor shut lines","PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","splits at the channel, hidden in the void","20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",bonded to the OEM door skin; no fasteners through the door. SCAN REQUIRED for the surface it sits on.,"class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",yes,scan,SCAN REQUIRED,3,overlay on the OEM door skin; its inner form is that skin,440..1635
P37,MIRROR_CAP_L,"UNPROVEN, no geometry",unknown until it exists,"the OEM door's outer surface — the new skin is an overlay and must sit on it, hinge and check-strap positions, glass drop path and seal line",cap over the OEM mirror body — its inner surface must match it,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",single piece,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",clips onto the OEM mirror. Its inner surface must match a mirror nobody has measured: SCAN REQUIRED.,"class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",not yet,Stage 03 geometry does not exist yet,BLOCKED,0,"no geometry yet; a Stage 03 detail part, so nothing can be measured about it",--
P38,MIRROR_CAP_R,"UNPROVEN, no geometry",unknown until it exists,"the OEM door's outer surface — the new skin is an overlay and must sit on it, hinge and check-strap positions, glass drop path and seal line",cap over the OEM mirror body — its inner surface must match it,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",single piece,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",clips onto the OEM mirror. Its inner surface must match a mirror nobody has measured: SCAN REQUIRED.,"class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",not yet,Stage 03 geometry does not exist yet,BLOCKED,0,"no geometry yet; a Stage 03 detail part, so nothing can be measured about it",--
P11,SIDE_INTAKE_L,donor-governed,SHAPE,"the real opening's shape, not just its X, duct route from the opening to the plenum, what is behind the opening on this particular car",the real opening behind it governs the mouth,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",split at the mouth's own lip,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",bonded flange to donor sheet + mechanical at the ends. Points SCAN REQUIRED.,"class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",yes,scan,SCAN REQUIRED,3,"frames the real intake opening, whose shape nobody has measured",1780..2300
P12,SIDE_INTAKE_R,donor-governed,SHAPE,"the real opening's shape, not just its X, duct route from the opening to the plenum, what is behind the opening on this particular car",the real opening behind it governs the mouth,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",split at the mouth's own lip,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",bonded flange to donor sheet + mechanical at the ends. Points SCAN REQUIRED.,"class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",yes,scan,SCAN REQUIRED,3,"frames the real intake opening, whose shape nobody has measured",1780..2300
P31,INTAKE_DUCT_L,"UNPROVEN, no geometry",unknown until it exists,"the real opening's shape, not just its X, duct route from the opening to the plenum, what is behind the opening on this particular car",what the eye sees through the intake; the real opening governs it,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",single piece,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",not yet,Stage 03 geometry does not exist yet,BLOCKED,0,"no geometry yet; a Stage 03 detail part, so nothing can be measured about it",--
P32,INTAKE_DUCT_R,"UNPROVEN, no geometry",unknown until it exists,"the real opening's shape, not just its X, duct route from the opening to the plenum, what is behind the opening on this particular car",what the eye sees through the intake; the real opening governs it,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",single piece,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",not yet,Stage 03 geometry does not exist yet,BLOCKED,0,"no geometry yet; a Stage 03 detail part, so nothing can be measured about it",--
P13,INTAKE_BLADE_L,"UNPROVEN, no geometry",unknown until it exists,"the real opening's shape, not just its X, duct route from the opening to the plenum, what is behind the opening on this particular car",blade inside our own mouth,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",single piece,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",not yet,Stage 03 geometry does not exist yet,BLOCKED,0,"no geometry yet; a Stage 03 detail part, so nothing can be measured about it",--
P14,INTAKE_BLADE_R,"UNPROVEN, no geometry",unknown until it exists,"the real opening's shape, not just its X, duct route from the opening to the plenum, what is behind the opening on this particular car",blade inside our own mouth,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",single piece,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",not yet,Stage 03 geometry does not exist yet,BLOCKED,0,"no geometry yet; a Stage 03 detail part, so nothing can be measured about it",--
P15,REAR_HAUNCH_L,donor-governed,SHAPE,"the welded quarter's outer surface — the overlay bonds to it, where the bodyshop can cut a 30–40 mm flange without touching structure, wheelhouse and full suspension travel",overlay bonded to the welded quarter; the quarter governs it,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",splits at the arch crown and the shut line,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bonded overlay, plus a 30-40 mm flange the bodyshop cuts where no seam exists. Where that flange can land is SCAN REQUIRED.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",yes,scan,SCAN REQUIRED,3,overlay bonded to the welded quarter; its inner form is that quarter,1635..3000
P16,REAR_HAUNCH_R,donor-governed,SHAPE,"the welded quarter's outer surface — the overlay bonds to it, where the bodyshop can cut a 30–40 mm flange without touching structure, wheelhouse and full suspension travel",overlay bonded to the welded quarter; the quarter governs it,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",splits at the arch crown and the shut line,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bonded overlay, plus a 30-40 mm flange the bodyshop cuts where no seam exists. Where that flange can land is SCAN REQUIRED.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",yes,scan,SCAN REQUIRED,3,overlay bonded to the welded quarter; its inner form is that quarter,1635..3000
P17,BUTTRESS_L,donor-governed,SHAPE,"roll-bar tube diameter and its real envelope, whether a bonded subframe can pick up on the roll-bar mounts","our blade, but it sits in the roof fold envelope","PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","single piece, but the blade itself is BLOCKED","20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",yes,scan,SCAN REQUIRED,3,"roof fold envelope, which exists nowhere as data",1780..2000
P18,BUTTRESS_R,donor-governed,SHAPE,"roll-bar tube diameter and its real envelope, whether a bonded subframe can pick up on the roll-bar mounts","our blade, but it sits in the roof fold envelope","PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","single piece, but the blade itself is BLOCKED","20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",yes,scan,SCAN REQUIRED,3,"roof fold envelope, which exists nowhere as data",1780..2000
P19,REAR_DECK_L,donor-governed,SHAPE,"THE ROOF FOLD ENVELOPE in all four positions — closed, half, open, clamshell raised, whether the deck must move with the clamshell or the roof stows beneath it, engine lid aperture","our deck, height governed by the roof fold envelope","PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",no centreline split needed: the engine cover already ends it inboard,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",yes,scan,SCAN REQUIRED,3,"roof fold envelope, which exists nowhere as data",2000..3000
P42,REAR_DECK_R,donor-governed,SHAPE,"THE ROOF FOLD ENVELOPE in all four positions — closed, half, open, clamshell raised, whether the deck must move with the clamshell or the roof stows beneath it, engine lid aperture","our deck, height governed by the roof fold envelope","PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",no centreline split needed: the engine cover already ends it inboard,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",yes,scan,SCAN REQUIRED,3,"roof fold envelope, which exists nowhere as data",2000..3000
P20,ENGINE_COVER,donor-governed,SHAPE,"engine lid aperture and hinge, engine bay top surface — how low the louvred panel can sit, heat map: where the hot air actually needs to leave","our cover, aperture governed by the donor engine lid","PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","splits across, between louvre banks","20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",bolts through flange into donor threads. Positions SCAN REQUIRED.,"class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",yes,scan,SCAN REQUIRED,3,"roof fold envelope, which exists nowhere as data",2000..3000
P33,ENGINE_COVER_LOUVRES,"UNPROVEN, no geometry",unknown until it exists,"engine lid aperture and hinge, engine bay top surface — how low the louvred panel can sit, heat map: where the hot air actually needs to leave",our louvres; the engine lid aperture governs where they can sit,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.","prints flat, one piece per bank","20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",not yet,Stage 03 geometry does not exist yet,BLOCKED,0,"no geometry yet; a Stage 03 detail part, so nothing can be measured about it",--
P21,REAR_FASCIA,"ours, provable",datum only,"rear bumper mounting points and crash structure, exhaust hanger positions",our rear form,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",splits at the centreline and outboard of the bar,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.",bolts through flange into donor threads. Positions SCAN REQUIRED.,"class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.","yes, but only the interface",none,PROCEED,1,"measured: no approx donor value moves its boundary, and the cabin cut -- the only thing cowl_x and hoop_x reshape -- does not reach it",3000..3420
P34,REAR_CENTRE_MASK,"UNPROVEN, no geometry",unknown until it exists,"rear bumper mounting points and crash structure, exhaust hanger positions",our centre mask between the light bar and the diffuser,"PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",single piece,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",not yet,Stage 03 geometry does not exist yet,BLOCKED,0,"no geometry yet; a Stage 03 detail part, so nothing can be measured about it",--
P36,PLATE_RECESS,"UNPROVEN, no geometry",unknown until it exists,"rear bumper mounting points and crash structure, exhaust hanger positions","our recess; the plate size is legislated, not donor","PROVISIONAL — Stack is print core + surface prep + laminate + local reinforcement; core wall from Q30, laminate from Q12, infill from Q37.",single piece,"20-35 mm wide, 10-20 mm overlap. PROVISIONAL until docs/13 Q15.","bolts or bonded tabs onto OUR adjacent panel, not onto the donor.","class-A face up or vertical, never down onto supports; a supported face must be one that ends up inside the car. Overhang limit from Q32.","target support-free. Where unavoidable, the supported face is an inner face. Who removes them and what prep the surface then needs: Q33.",not yet,Stage 03 geometry does not exist yet,BLOCKED,0,"no geometry yet; a Stage 03 detail part, so nothing can be measured about it",--
