PANEL,NAME,SECTION,X_MM,Y_MM,Z_MM,FITS_BED,PIECES_IN_FILE,CLASS_A_UP,PLACE_RX,PLACE_RY,PLACE_RZ,PLACE_X_MM,PLACE_Y_MM,PLACE_Z_MM,WHAT_IS_MISSING,FILE
P03,FRONT_FENDER_L,s11,308.8,290.5,73.8,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,831.8,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s11.stl
P03,FRONT_FENDER_L,s12,201.9,160.0,3.0,yes,1,yes,180.0,-90.0,0.0,-165.0,0.0,0.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s12.stl
P03,FRONT_FENDER_L,s13,205.3,115.5,23.6,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,653.9,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s13.stl
P03,FRONT_FENDER_L,s14,74.5,269.7,30.2,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,636.1,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s14.stl
P03,FRONT_FENDER_L,s15,39.1,272.3,10.8,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,663.4,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s15.stl
P03,FRONT_FENDER_L,s16,39.4,271.9,5.6,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,671.2,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s16.stl
P03,FRONT_FENDER_L,s17,39.4,271.6,5.6,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,671.2,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s17.stl
P03,FRONT_FENDER_L,s18,39.1,270.9,10.8,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,663.4,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s18.stl
P03,FRONT_FENDER_L,s19,20.8,272.5,6.3,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,660.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s19.stl
P03,FRONT_FENDER_L,s20,37.0,51.3,27.7,yes,1,yes,-90.0,-0.0,-0.0,0.0,889.5,-0.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s20.stl
P03,FRONT_FENDER_L,s20b,59.4,19.7,18.9,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,657.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s20b.stl
P03,FRONT_FENDER_L,s21,308.6,273.4,200.8,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,656.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s21.stl
P03,FRONT_FENDER_L,s22,204.1,272.5,19.6,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,653.9,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s22.stl
P03,FRONT_FENDER_L,s23,76.1,115.5,32.5,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,636.1,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s23.stl
P03,FRONT_FENDER_L,s24,307.7,290.9,125.6,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,769.6,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s24.stl
P03,FRONT_FENDER_L,s24b,12.0,40.5,11.9,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,818.2,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s24b.stl
P03,FRONT_FENDER_L,s24c,17.1,21.1,12.6,yes,1,yes,180.0,-90.0,0.0,373.5,-0.0,-0.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s24c.stl
P03,FRONT_FENDER_L,s24d,23.6,41.0,12.1,yes,1,yes,180.0,-90.0,0.0,372.6,-0.0,-0.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s24d.stl
P03,FRONT_FENDER_L,s25,170.1,160.0,3.0,yes,1,yes,180.0,-90.0,0.0,232.0,-0.0,-0.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s25.stl
P03,FRONT_FENDER_L,s26,29.7,115.5,14.9,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,653.9,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s26.stl
P03,FRONT_FENDER_L,s27,144.4,162.1,94.4,yes,1,yes,180.0,-90.0,0.0,291.4,-0.0,-0.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s27.stl
P03,FRONT_FENDER_L,s28,110.4,61.2,37.4,yes,1,yes,180.0,-90.0,0.0,347.9,-0.0,-0.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s28.stl
P03,FRONT_FENDER_L,s28b,16.9,14.1,12.3,yes,1,yes,180.0,-90.0,0.0,372.6,-0.0,-0.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s28b.stl
P03,FRONT_FENDER_L,s29,219.1,273.0,70.5,yes,1,yes,-90.0,-0.0,-0.0,0.0,853.9,-0.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s29.stl
P03,FRONT_FENDER_L,s29b,12.0,18.3,11.3,yes,1,yes,-90.0,-0.0,-0.0,0.0,879.4,-0.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s29b.stl
P03,FRONT_FENDER_L,s29c,42.1,17.2,12.1,yes,1,yes,-90.0,-0.0,-0.0,0.0,911.8,-0.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s29c.stl
P03,FRONT_FENDER_L,s30,74.5,272.5,30.2,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,636.1,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s30.stl
P03,FRONT_FENDER_L,s31,307.9,274.1,195.5,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,655.3,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s31.stl
P03,FRONT_FENDER_L,s31b,17.4,25.7,12.1,yes,1,yes,180.0,-90.0,0.0,374.4,-0.0,-0.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s31b.stl
P03,FRONT_FENDER_L,s31c,17.1,21.7,12.0,yes,1,yes,180.0,-90.0,0.0,374.3,-0.0,-0.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s31c.stl
P03,FRONT_FENDER_L,s32,156.7,73.1,72.8,yes,1,yes,-180.0,-0.0,-0.0,0.0,-0.0,204.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s32.stl
P03,FRONT_FENDER_L,s33,31.0,15.9,13.5,yes,1,yes,-180.0,-0.0,-0.0,0.0,-0.0,134.3,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s33.stl
P03,FRONT_FENDER_L,s34,133.9,274.5,121.9,yes,1,yes,0.0,-90.0,0.0,655.0,0.0,0.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s34.stl
P03,FRONT_FENDER_L,s35,90.9,143.4,55.2,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,620.2,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s35.stl
P03,FRONT_FENDER_L,s35b,25.0,33.4,18.4,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,654.4,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s35b.stl
P03,FRONT_FENDER_L,s35c,26.8,21.1,13.2,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,660.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s35c.stl
P03,FRONT_FENDER_L,s36,290.8,291.5,182.0,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,652.3,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s36.stl
P03,FRONT_FENDER_L,s37,289.5,289.2,238.0,yes,1,yes,-90.0,-0.0,-0.0,0.0,650.4,-0.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s37.stl
P03,FRONT_FENDER_L,s38,93.4,39.7,6.9,yes,1,yes,-180.0,-0.0,-0.0,0.0,-0.0,408.1,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s38.stl
P03,FRONT_FENDER_L,s39,290.9,287.6,244.8,yes,1,yes,-90.0,-0.0,-0.0,0.0,650.9,-0.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s39.stl
P03,FRONT_FENDER_L,s39b,29.9,28.3,10.3,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,665.7,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s39b.stl
P03,FRONT_FENDER_L,s40,248.6,220.8,132.7,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,654.0,outer form ours; the inner face is the donor's fender line. Carries a 30 mm TRIM ALLOWANCE past the door shut line (overlaps P09 by 30 mm): the line moves with door_front_x by +-15..30 mm and the scan says where to cut.,03_PRINT/shape_only/P03_FRONT_FENDER_L_s40.stl
P04,FRONT_FENDER_R,s01,230.0,291.2,91.5,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,833.6,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s01.stl
P04,FRONT_FENDER_R,s02,90.5,77.9,30.6,yes,1,yes,90.0,-0.0,0.0,0.0,-850.7,-0.0,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s02.stl
P04,FRONT_FENDER_R,s03,250.9,288.0,103.3,yes,1,yes,90.0,-0.0,0.0,0.0,-808.6,-0.0,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s03.stl
P04,FRONT_FENDER_R,s04,310.2,255.1,229.7,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,654.9,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s04.stl
P04,FRONT_FENDER_R,s05,76.1,115.5,32.5,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,636.1,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s05.stl
P04,FRONT_FENDER_R,s06,39.5,115.1,11.9,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,663.4,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s06.stl
P04,FRONT_FENDER_R,s07,39.5,115.2,11.9,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,663.4,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s07.stl
P04,FRONT_FENDER_R,s08,39.4,115.0,6.3,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,671.2,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s08.stl
P04,FRONT_FENDER_R,s09,39.4,115.0,6.3,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,671.2,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s09.stl
P04,FRONT_FENDER_R,s10,20.8,115.1,8.6,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,660.0,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s10.stl
P04,FRONT_FENDER_R,s11,308.8,290.5,73.8,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,831.8,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s11.stl
P04,FRONT_FENDER_R,s12,201.9,160.0,3.0,yes,1,yes,0.0,-90.0,0.0,-162.0,0.0,-0.0,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s12.stl
P04,FRONT_FENDER_R,s13,205.3,115.5,23.6,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,653.9,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s13.stl
P04,FRONT_FENDER_R,s14,74.5,269.7,30.2,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,636.1,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s14.stl
P04,FRONT_FENDER_R,s15,39.1,272.3,10.8,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,663.4,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s15.stl
P04,FRONT_FENDER_R,s16,39.4,271.9,5.6,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,671.2,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s16.stl
P04,FRONT_FENDER_R,s17,39.4,271.6,5.6,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,671.2,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s17.stl
P04,FRONT_FENDER_R,s18,39.1,270.9,10.8,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,663.4,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s18.stl
P04,FRONT_FENDER_R,s19,20.8,272.5,6.3,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,660.0,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s19.stl
P04,FRONT_FENDER_R,s20,37.0,51.3,27.7,yes,1,yes,90.0,-0.0,0.0,0.0,-889.5,-0.0,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s20.stl
P04,FRONT_FENDER_R,s20b,59.4,19.7,18.9,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,657.0,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s20b.stl
P04,FRONT_FENDER_R,s21,308.6,273.4,200.8,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,656.0,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s21.stl
P04,FRONT_FENDER_R,s22,204.1,272.5,19.6,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,653.9,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s22.stl
P04,FRONT_FENDER_R,s23,76.1,115.5,32.5,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,636.1,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s23.stl
P04,FRONT_FENDER_R,s24,307.7,290.9,125.6,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,769.6,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s24.stl
P04,FRONT_FENDER_R,s24b,12.0,40.5,11.9,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,818.2,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s24b.stl
P04,FRONT_FENDER_R,s24c,17.1,21.1,12.6,yes,1,yes,180.0,-90.0,0.0,373.5,-0.0,-0.0,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s24c.stl
P04,FRONT_FENDER_R,s24d,23.6,41.0,12.1,yes,1,yes,180.0,-90.0,0.0,372.6,-0.0,-0.0,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s24d.stl
P04,FRONT_FENDER_R,s25,170.1,160.0,3.0,yes,1,yes,180.0,-90.0,0.0,235.0,-0.0,-0.0,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s25.stl
P04,FRONT_FENDER_R,s26,29.7,115.5,14.9,yes,1,yes,-0.0,-0.0,-0.0,0.0,0.0,653.9,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s26.stl
P04,FRONT_FENDER_R,s27,144.4,162.1,94.4,yes,1,yes,180.0,-90.0,0.0,291.4,-0.0,-0.0,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s27.stl
P04,FRONT_FENDER_R,s28,110.4,61.2,37.4,yes,1,yes,180.0,-90.0,0.0,347.9,-0.0,-0.0,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s28.stl
P04,FRONT_FENDER_R,s28b,16.9,14.1,12.3,yes,1,yes,180.0,-90.0,0.0,372.6,-0.0,-0.0,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s28b.stl
P04,FRONT_FENDER_R,s29,219.1,273.0,70.5,yes,1,yes,90.0,-0.0,0.0,0.0,-853.9,-0.0,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s29.stl
P04,FRONT_FENDER_R,s29b,12.0,18.3,11.3,yes,1,yes,90.0,-0.0,0.0,0.0,-879.4,-0.0,"mirror of P03, same note",03_PRINT/shape_only/P04_FRONT_FENDER_R_s29b.stl
